domain,model,donor_wy,swe_mm,soil_liq_mm,aquifer_mm,total_storage_mm,basin,spatial
Tuolumne_River_lumped,bigBuckt,2005,0.0,189.25343104844058,0.024209161739793948,189.27764021018038,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2006,0.0,195.71654750597787,0.030488452570029686,195.7470359585479,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2007,0.0,200.28150213409805,0.03572587777484501,200.31722801187288,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2008,0.0,208.97331561656011,0.04784320949854051,209.02115882605867,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2009,0.0,171.48252575703557,0.012384067985102555,171.49490982502067,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2010,0.0,204.29576307974162,0.040949299312437355,204.33671237905406,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2011,0.0,216.92128979748344,0.06181747087246835,216.9831072683559,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2012,0.0,179.68832929521068,0.016983691538010458,179.70531298674868,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2013,0.0,169.1624663830197,0.0113063325129608,169.17377271553266,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2014,0.0,178.3666450479955,0.01615255709376596,178.38279760508925,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2015,0.0,200.71703568553252,0.03626355379297388,200.7532992393255,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2016,0.0,198.08417458062178,0.03311598384439995,198.11729056446617,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2017,0.0,206.2453188903529,0.043712239155706004,206.2890311295086,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2018,0.0,165.17802077557513,0.009654441144242942,165.18767521671938,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2019,0.0,202.20551338114055,0.03815361130643519,202.24366699244698,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2020,0.0,198.72904428002403,0.03386442043293722,198.76290870045696,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2001,0.0,42.803465409960616,0.0,42.803465409960616,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2002,0.0,42.48649063663166,0.0,42.48649063663166,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2003,0.0,42.70479319276413,0.0,42.70479319276413,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2004,0.0,43.17977509096987,0.0,43.17977509096987,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2005,0.0,42.60991699451709,0.0,42.60991699451709,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2006,0.0,42.78131377907013,0.0,42.78131377907013,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2007,0.0,42.790125838222565,0.0,42.790125838222565,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2008,0.0,43.17050574438821,0.0,43.17050574438821,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2009,0.0,42.48185288227829,0.0,42.48185288227829,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2010,0.0,42.93186483083843,0.0,42.93186483083843,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2011,0.0,43.66570393644991,0.0,43.66570393644991,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2012,0.0,42.49234856226637,0.0,42.49234856226637,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2013,0.0,42.419939588055435,0.0,42.419939588055435,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2014,0.0,42.49578593806703,0.0,42.49578593806703,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2015,0.0,42.834971184974975,0.0,42.834971184974975,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2016,0.0,42.7752547536042,0.0,42.7752547536042,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2017,0.0,43.11376304961427,0.0,43.11376304961427,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2018,0.0,42.38227771954942,0.0,42.38227771954942,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2019,0.0,42.89462044422564,0.0,42.89462044422564,Tuolumne_River,lumped
Tuolumne_River_lumped,noXplict,2020,0.0,42.785899919682066,0.0,42.785899919682066,Tuolumne_River,lumped
Tuolumne_River_distributed_elev,bigBuckt,2001,0.0,51.76613107595982,0.009779521315540425,51.77591059727536,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2002,0.0,51.62755562431758,0.009227792294299488,51.63678341661188,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2003,0.0,52.90343615892247,0.01140646791517338,52.91484262683764,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2004,0.0,52.377697135790335,0.01063335172101368,52.38833048751135,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2005,0.0,53.07672301529286,0.011414081588380514,53.08813709688124,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2006,0.0,52.96686375195273,0.01163038525406533,52.978494137206795,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2007,0.0,51.585247895418064,0.009621629749899129,51.594869525167965,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2008,0.0,52.48031522420199,0.010690961935050248,52.491006186137035,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2009,0.0,51.81089671172414,0.009318914520734242,51.820215626244874,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2010,0.0,53.62710167747187,0.012476604276500653,53.63957828174837,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2011,0.0,54.88613318939956,0.01377860251340685,54.89991179191296,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2012,0.0,51.688370741457156,0.009596817322299691,51.69796755877945,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2013,0.0,51.03145966208557,0.00877803602122685,51.04023769810679,Tuolumne_River,elev
Tuolumne_River_distributed_elev,bigBuckt,2014,0.0,51.4821482589077,0.009194587067992135,51.491342845975694,Tuolumne_River,elev
